Headline,Date
Why it might be time to sell two of the world’s most recognizable names,"Jul. 23, 2020 at 1:32 p.m. ET"
Nike stock price target raised to $122 from $111 at Stifel Nicolaus,"Jul. 23, 2020 at 8:20 a.m. ET"
Why Nike Is Doubling Down on Its Digital Strategy,"Jul. 22, 2020 at 11:00 a.m. ET"
"Nike reorganization for direct-to-consumer initiative will lead to job losses, one-time $200 million cost","Jul. 22, 2020 at 10:08 a.m. ET"
"Chevron, Exxon Mobil share gains lead Dow's nearly 200-point jump","Jul. 21, 2020 at 3:16 p.m. ET"
Hibbett Sports stock soars after second-quarter business update includes 70% same-store sales growth forecast,"Jul. 21, 2020 at 10:31 a.m. ET"
The Pandemic Has Helped Lululemon. Now It’s Under Armour’s Turn.,"Jul. 21, 2020 at 5:00 a.m. ET"
"A Giant Fund Sold Apple, Microsoft Stock. Here Are 2 Stocks It Bought.","Jul. 19, 2020 at 7:00 a.m. ET"
"Dow Inc., Travelers share losses contribute to Dow's 75-point drop","Jul. 17, 2020 at 10:24 a.m. ET"
"Dow drops nearly 150 points on losses for shares of Boeing, Microsoft","Jul. 16, 2020 at 3:59 p.m. ET"
Consumers Are In a Tough Spot. Here Are 20 Stocks That Can Thrive.,"Jul. 14, 2020 at 2:36 p.m. ET"
Brooks Brothers files for bankruptcy as its take on office gear falls out of step with more casual trends,"Jul. 11, 2020 at 8:47 a.m. ET"
"Buy Foot Locker Stock, Analyst Says — But Not Because It’s a Good Company","Jul. 10, 2020 at 10:24 a.m. ET"
3 Retail Stocks Selling More Than Just the Product,"Jul. 10, 2020 at 8:30 a.m. ET"
"Dow's nearly 150-point climb highlighted by gains for Walt Disney, Microsoft shares","Jul. 8, 2020 at 3:23 p.m. ET"
"Target, Walmart Pull Washington Redskins Merchandise From Online Stores as Team Reviews Name","Jul. 6, 2020 at 12:47 p.m. ET"
"Dow up 61 points on gains in shares of Apple Inc., Microsoft","Jul. 8, 2020 at 2:23 p.m. ET"
"Dow's 50-point climb led by gains for shares of Apple Inc., Nike","Jul. 8, 2020 at 11:02 a.m. ET"
Dick's Sporting Goods is Bank of America's 'solitary leisure' pick on spike in demand for bicycles,"Jul. 6, 2020 at 1:35 p.m. ET"
"These stocks, including Tesla and Apple, are the real winners for the second quarter of 2020","Jul. 4, 2020 at 11:20 a.m. ET"
3 Scenarios for Playing the Coronavirus Economy in the Second Half,"Jul. 2, 2020 at 5:01 p.m. ET"
"Intel, Goldman Sachs share gains contribute to Dow's 75-point climb","Jun. 30, 2020 at 3:24 p.m. ET"
"Nike’s COVID-related sales decline is a bump on the path to long-term growth, analysts say","Jun. 29, 2020 at 12:51 p.m. ET"
Nike fourth-quarter sales drop nearly 40%,"Jun. 27, 2020 at 10:57 a.m. ET"
Companies and Investors Heed the Call to Action,"Jun. 26, 2020 at 7:58 p.m. ET"
Corporate Behavior Might Actually Change. Here’s Why.,"Jun. 26, 2020 at 7:57 p.m. ET"
"Dow falls 766 points on losses in Goldman Sachs, Nike stocks","Jun. 26, 2020 at 3:35 p.m. ET"
Nike Stock Is Getting Crushed Because Earnings Show Why Stores Still Matter,"Jun. 26, 2020 at 11:43 a.m. ET"
"Dow falls nearly 700 points on losses for shares of Goldman Sachs, Nike","Jun. 26, 2020 at 2:35 p.m. ET"
"Dow's 530-point fall led by losses for shares of Goldman Sachs, Nike","Jun. 26, 2020 at 1:34 p.m. ET"
The Dow Is Down 540 Points Because of Rising Coronavirus Cases and the Fed’s Heavy Hand,"Jun. 26, 2020 at 1:26 p.m. ET"
"Goldman Sachs, Nike share losses contribute to Dow's nearly 600-point fall","Jun. 26, 2020 at 12:12 p.m. ET"
"Goldman Sachs, Nike share losses contribute to Dow's 519-point drop","Jun. 26, 2020 at 10:45 a.m. ET"
"Dow down 317 points on losses in shares of Goldman Sachs, JPMorgan Chase","Jun. 26, 2020 at 9:45 a.m. ET"
Bank Stocks Drag on the Dow. Virgin Galactic Takes Off.,"Jun. 26, 2020 at 8:22 a.m. ET"
Nike Stock Is Falling After a Surprise Loss Tied to the Covid-19 Pandemic,"Jun. 25, 2020 at 4:55 p.m. ET"
Why RFID May Separate Retail’s Winners From the Losers,"Jun. 24, 2020 at 11:31 a.m. ET"
Dick's Sporting Goods upgraded on potential market share gains in sneaker sales,"Jun. 24, 2020 at 10:40 a.m. ET"
"Nike, Apple Inc. share gains contribute to Dow's 135-point climb","Jun. 23, 2020 at 3:50 p.m. ET"
Nike Stock Keeps Notching Higher Price Targets. ‘The Strongest Brand in the Retail Sector.’,"Jun. 23, 2020 at 11:51 a.m. ET"
"Dow's 225-point jump led by gains for shares of Apple Inc., Nike","Jun. 23, 2020 at 11:46 a.m. ET"
"Merck, Apple Inc. share gains contribute to Dow's nearly 150-point jump","Jun. 23, 2020 at 10:45 a.m. ET"
Nike stock price target raised to $130 from $100 at Susquehanna,"Jun. 23, 2020 at 6:28 a.m. ET"
Nike Earnings Anticipation Brings a Flurry of Higher Target Prices,"Jun. 22, 2020 at 4:43 p.m. ET"
"Dow's 150-point jump led by gains in Nike, Apple Inc. stocks","Jun. 22, 2020 at 2:55 p.m. ET"
"Microsoft, Nike share gains contribute to Dow's 85-point jump","Jun. 22, 2020 at 12:04 p.m. ET"
Why the Widening Wealth Gap Is Bad News for Everyone,"Jun. 19, 2020 at 9:52 p.m. ET"
Here are the best and worst stocks during the first 100 days of the coronavirus pandemic,"Jun. 20, 2020 at 8:45 p.m. ET"
"Boeing, Raytheon Technologies Corp. share losses lead Dow's 125-point drop","Jun. 19, 2020 at 3:01 p.m. ET"
"Nike Reports Earnings Thursday. Despite Bad News, It Looks Like a Buy.","Jun. 19, 2020 at 10:19 a.m. ET"
"Dow's 39-point drop led by losses for shares of American Express, Goldman Sachs","Jun. 18, 2020 at 3:59 p.m. ET"
"Microsoft, Visa share gains contribute to Dow's 32-point climb","Jun. 17, 2020 at 12:34 p.m. ET"
"Nike Is a Winner as Virus Brings Focus on Wellness, Analyst Says","Jun. 17, 2020 at 10:15 a.m. ET"
